region1,region2,ratio,common,first
USSR-finn,Brasil,0,0,0
Brasil,USSR-grúz,0.16666666666666666,1,1
USSR-grúz,Brasil,0.038461538461538464,1,0
Brasil,USSR-kazah,0,0,0
USSR-kazah,Brasil,0,0,0
Brasil,USSR-kirgiz,0,0,0
USSR-kirgiz,Brasil,0,0,0
Brasil,USSR-lett,0,0,0
USSR-lett,Brasil,0,0,0
Brasil,USSR-litván,0.16666666666666666,1,1
USSR-litván,Brasil,0.027777777777777776,1,0
Brasil,USSR-moldva,0.16666666666666666,1,1
USSR-moldva,Brasil,0.125,1,0
Brasil,USSR-orosz,0.16666666666666666,1,1
USSR-orosz,Brasil,0.004830917874396135,1,0
Brasil,USSR-tadzsik,0,0,0
USSR-tadzsik,Brasil,0,0,0
Brasil,USSR-türkmén,0,0,0
USSR-türkmén,Brasil,0,0,0
Brasil,USSR-udmurt,0,0,0
USSR-udmurt,Brasil,0,0,0
Brasil,USSR-ukrán,0.16666666666666666,1,1
USSR-ukrán,Brasil,0.017857142857142856,1,0
Brasil,USSR-észt,0.16666666666666666,1,1
USSR-észt,Brasil,0.03333333333333333,1,0
Brasil,USSR-örmény,0.16666666666666666,1,1
USSR-örmény,Brasil,0.0625,1,0
Brasil,USSR-üzbég,0,0,0
USSR-üzbég,Brasil,0,0,0
Brasil,Venezuela,0,0,0
Venezuela,Brasil,0,0,0
Brasil,Vietnam,0,0,0
Vietnam,Brasil,0,0,0
Brasil,Yugoslavia,0.5,3,2
Yugoslavia,Brasil,0.0234375,3,1
Bulgaria,Bulgaria,NA,NA,NA
Bulgaria,Canada,0,0,0
Canada,Bulgaria,0,0,0
Bulgaria,Chile,0.009259259259259259,1,1
Chile,Bulgaria,0.5,1,0
Bulgaria,China,0.09259259259259259,10,5
China,Bulgaria,0.35714285714285715,10,5
Bulgaria,Colombia,0.009259259259259259,1,1
Colombia,Bulgaria,1,1,0
Bulgaria,Cuba,0.018518518518518517,2,0
Cuba,Bulgaria,0.4,2,2
Bulgaria,Czechoslovakia-cseh,0.46296296296296297,50,18
Czechoslovakia-cseh,Bulgaria,0.21008403361344538,50,32
Bulgaria,Czechoslovakia-szlovák,0.46296296296296297,50,20.5
Czechoslovakia-szlovák,Bulgaria,0.17421602787456447,50,29.5
Bulgaria,Denmark,0.018518518518518517,2,1
Denmark,Bulgaria,0.125,2,1
Bulgaria,Egypt,0,0,0
Egypt,Bulgaria,0,0,0
Bulgaria,Federal Republic of Germany,0.14814814814814814,16,7.5
Federal Republic of Germany,Bulgaria,0.0975609756097561,16,8.5
Bulgaria,Finland,0.09259259259259259,10,5
Finland,Bulgaria,0.22727272727272727,10,5
Bulgaria,France,0.14814814814814814,16,10.5
France,Bulgaria,0.17204301075268819,16,5.5
Bulgaria,GDR,0.4444444444444444,48,19
GDR,Bulgaria,0.19123505976095617,48,29
Bulgaria,Greece,0.018518518518518517,2,2
Greece,Bulgaria,0.5,2,0
Bulgaria,Hungary,0.2777777777777778,30,13
Hungary,Bulgaria,0.20689655172413793,30,17
Bulgaria,India,0,0,0
India,Bulgaria,0,0,0
Bulgaria,Iran,0.009259259259259259,1,0
Iran,Bulgaria,0.3333333333333333,1,1
Bulgaria,Israel,0.037037037037037035,4,3
Israel,Bulgaria,0.14285714285714285,4,1
Bulgaria,Italy,0.08333333333333333,9,5
Italy,Bulgaria,0.15,9,4
Bulgaria,Japan,0.046296296296296294,5,3.5
Japan,Bulgaria,0.29411764705882354,5,1.5
Bulgaria,Malaysia,0,0,0
Malaysia,Bulgaria,0,0,0
Bulgaria,Mexico,0.009259259259259259,1,1
Mexico,Bulgaria,0.5,1,0
Bulgaria,Mongolia,0.009259259259259259,1,1
Mongolia,Bulgaria,0.3333333333333333,1,0
Bulgaria,Netherlands,0.06481481481481481,7,3.5
Netherlands,Bulgaria,0.1590909090909091,7,3.5
Bulgaria,Norway,0.037037037037037035,4,2
Norway,Bulgaria,0.2,4,2
Bulgaria,Poland,0.42592592592592593,46,18
Poland,Bulgaria,0.20175438596491227,46,28
Bulgaria,Portugal,0.009259259259259259,1,1
Portugal,Bulgaria,0.25,1,0
Bulgaria,Romania,0.25925925925925924,28,13
Romania,Bulgaria,0.1761006289308176,28,15
Bulgaria,Singapore,0,0,0
Singapore,Bulgaria,0,0,0
Bulgaria,South Korea,0,0,0
South Korea,Bulgaria,0,0,0
Bulgaria,Spain,0.07407407407407407,8,6
Spain,Bulgaria,0.11764705882352941,8,2
Bulgaria,Sweden,0.08333333333333333,9,4
Sweden,Bulgaria,0.20454545454545456,9,5
Bulgaria,Switzerland,0.027777777777777776,3,2
Switzerland,Bulgaria,0.13043478260869565,3,1
Bulgaria,Turkey,0.027777777777777776,3,2
Turkey,Bulgaria,0.0967741935483871,3,1
Bulgaria,UK,0.037037037037037035,4,2
UK,Bulgaria,0.125,4,2
Bulgaria,USA,0.018518518518518517,2,1
USA,Bulgaria,0.05263157894736842,2,1
Bulgaria,USSR-altaji,0,0,0
USSR-altaji,Bulgaria,0,0,0
Bulgaria,USSR-azerbajdzsán,0.018518518518518517,2,1
USSR-azerbajdzsán,Bulgaria,0.2857142857142857,2,1
Bulgaria,USSR-csuvas,0,0,0
USSR-csuvas,Bulgaria,0,0,0
Bulgaria,USSR-fehérorosz,0.009259259259259259,1,1
USSR-fehérorosz,Bulgaria,0.16666666666666666,1,0
Bulgaria,USSR-finn,0,0,0
USSR-finn,Bulgaria,0,0,0
Bulgaria,USSR-grúz,0.07407407407407407,8,7
USSR-grúz,Bulgaria,0.3076923076923077,8,1
Bulgaria,USSR-kazah,0.037037037037037035,4,4
USSR-kazah,Bulgaria,0.5,4,0
Bulgaria,USSR-kirgiz,0.009259259259259259,1,0
USSR-kirgiz,Bulgaria,0.3333333333333333,1,1
Bulgaria,USSR-lett,0.1388888888888889,15,10
USSR-lett,Bulgaria,0.5555555555555556,15,5
Bulgaria,USSR-litván,0.16666666666666666,18,8
USSR-litván,Bulgaria,0.5,18,10
Bulgaria,USSR-moldva,0.027777777777777776,3,2
USSR-moldva,Bulgaria,0.375,3,1
Bulgaria,USSR-orosz,0.4074074074074074,44,18
USSR-orosz,Bulgaria,0.21256038647342995,44,26
Bulgaria,USSR-tadzsik,0.009259259259259259,1,0
USSR-tadzsik,Bulgaria,0.2,1,1
Bulgaria,USSR-türkmén,0.027777777777777776,3,2
USSR-türkmén,Bulgaria,0.75,3,1
Bulgaria,USSR-udmurt,0,0,0
USSR-udmurt,Bulgaria,0,0,0
Bulgaria,USSR-ukrán,0.23148148148148148,25,13.5
USSR-ukrán,Bulgaria,0.44642857142857145,25,11.5
Bulgaria,USSR-észt,0.05555555555555555,6,4
USSR-észt,Bulgaria,0.2,6,2
Bulgaria,USSR-örmény,0.07407407407407407,8,6
USSR-örmény,Bulgaria,0.5,8,2
Bulgaria,USSR-üzbég,0.046296296296296294,5,4
USSR-üzbég,Bulgaria,0.625,5,1
Bulgaria,Venezuela,0,0,0
Venezuela,Bulgaria,0,0,0
Bulgaria,Vietnam,0.018518518518518517,2,2
Vietnam,Bulgaria,0.6666666666666666,2,0
Bulgaria,Yugoslavia,0.23148148148148148,25,9
Yugoslavia,Bulgaria,0.1953125,25,16
Canada,Canada,NA,NA,NA
Canada,Chile,0,0,0
Chile,Canada,0,0,0
Canada,China,0,0,0
China,Canada,0,0,0
Canada,Colombia,0,0,0
Colombia,Canada,0,0,0
Canada,Cuba,0,0,0
Cuba,Canada,0,0,0
Canada,Czechoslovakia-cseh,0,0,0
Czechoslovakia-cseh,Canada,0,0,0
Canada,Czechoslovakia-szlovák,0,0,0
Czechoslovakia-szlovák,Canada,0,0,0
Canada,Denmark,0.3333333333333333,1,0
Denmark,Canada,0.0625,1,1
Canada,Egypt,0,0,0
Egypt,Canada,0,0,0
Canada,Federal Republic of Germany,0.3333333333333333,1,0
Federal Republic of Germany,Canada,0.006097560975609756,1,1
Canada,Finland,0,0,0
Finland,Canada,0,0,0
Canada,France,0,0,0
France,Canada,0,0,0
Canada,GDR,0.3333333333333333,1,0
GDR,Canada,0.00398406374501992,1,1
Canada,Greece,0,0,0
Greece,Canada,0,0,0
Canada,Hungary,0,0,0
Hungary,Canada,0,0,0
Canada,India,0,0,0
India,Canada,0,0,0
Canada,Iran,0,0,0
Iran,Canada,0,0,0
Canada,Israel,0,0,0
Israel,Canada,0,0,0
Canada,Italy,0,0,0
Italy,Canada,0,0,0
Canada,Japan,0,0,0
Japan,Canada,0,0,0
Canada,Malaysia,0,0,0
Malaysia,Canada,0,0,0
Canada,Mexico,0,0,0
Mexico,Canada,0,0,0
Canada,Mongolia,0,0,0
Mongolia,Canada,0,0,0
Canada,Netherlands,0,0,0
Netherlands,Canada,0,0,0
Canada,Norway,0,0,0
Norway,Canada,0,0,0
Canada,Poland,0.3333333333333333,1,0
Poland,Canada,0.0043859649122807015,1,1
Canada,Portugal,0,0,0
Portugal,Canada,0,0,0
Canada,Romania,0,0,0
Romania,Canada,0,0,0
Canada,Singapore,0,0,0
Singapore,Canada,0,0,0
Canada,South Korea,0,0,0
South Korea,Canada,0,0,0
Canada,Spain,0,0,0
Spain,Canada,0,0,0
Canada,Sweden,0,0,0
Sweden,Canada,0,0,0
Canada,Switzerland,0,0,0
Switzerland,Canada,0,0,0
Canada,Turkey,0,0,0
Turkey,Canada,0,0,0
Canada,UK,0.3333333333333333,1,1
UK,Canada,0.03125,1,0
Canada,USA,0,0,0
USA,Canada,0,0,0
Canada,USSR-altaji,0,0,0
USSR-altaji,Canada,0,0,0
Canada,USSR-azerbajdzsán,0,0,0
USSR-azerbajdzsán,Canada,0,0,0
Canada,USSR-csuvas,0,0,0
USSR-csuvas,Canada,0,0,0
Canada,USSR-fehérorosz,0,0,0
USSR-fehérorosz,Canada,0,0,0
Canada,USSR-finn,0,0,0
USSR-finn,Canada,0,0,0
Canada,USSR-grúz,0,0,0
USSR-grúz,Canada,0,0,0
Canada,USSR-kazah,0,0,0
USSR-kazah,Canada,0,0,0
Canada,USSR-kirgiz,0,0,0
USSR-kirgiz,Canada,0,0,0
Canada,USSR-lett,0,0,0
USSR-lett,Canada,0,0,0
Canada,USSR-litván,0,0,0
USSR-litván,Canada,0,0,0
Canada,USSR-moldva,0,0,0
USSR-moldva,Canada,0,0,0
Canada,USSR-orosz,0,0,0
USSR-orosz,Canada,0,0,0
Canada,USSR-tadzsik,0,0,0
USSR-tadzsik,Canada,0,0,0
Canada,USSR-türkmén,0,0,0
USSR-türkmén,Canada,0,0,0
Canada,USSR-udmurt,0,0,0
USSR-udmurt,Canada,0,0,0
Canada,USSR-ukrán,0,0,0
USSR-ukrán,Canada,0,0,0
Canada,USSR-észt,0,0,0
USSR-észt,Canada,0,0,0
Canada,USSR-örmény,0,0,0
USSR-örmény,Canada,0,0,0
Canada,USSR-üzbég,0,0,0
USSR-üzbég,Canada,0,0,0
Canada,Venezuela,0,0,0
Venezuela,Canada,0,0,0
Canada,Vietnam,0,0,0
Vietnam,Canada,0,0,0
Canada,Yugoslavia,0,0,0
Yugoslavia,Canada,0,0,0
Chile,Chile,NA,NA,NA
Chile,China,0,0,0
China,Chile,0,0,0
Chile,Colombia,0,0,0
Colombia,Chile,0,0,0
Chile,Cuba,0,0,0
Cuba,Chile,0,0,0
Chile,Czechoslovakia-cseh,0.5,1,0
Czechoslovakia-cseh,Chile,0.004201680672268907,1,1
Chile,Czechoslovakia-szlovák,0.5,1,0
Czechoslovakia-szlovák,Chile,0.003484320557491289,1,1
Chile,Denmark,0,0,0
Denmark,Chile,0,0,0
Chile,Egypt,0,0,0
Egypt,Chile,0,0,0
Chile,Federal Republic of Germany,0,0,0
Federal Republic of Germany,Chile,0,0,0
Chile,Finland,0,0,0
Finland,Chile,0,0,0
Chile,France,0.5,1,0
France,Chile,0.010752688172043012,1,1
Chile,GDR,0.5,1,1
GDR,Chile,0.00398406374501992,1,0
Chile,Greece,0,0,0
Greece,Chile,0,0,0
Chile,Hungary,0,0,0
Hungary,Chile,0,0,0
Chile,India,0,0,0
India,Chile,0,0,0
Chile,Iran,0,0,0
Iran,Chile,0,0,0
Chile,Israel,0,0,0
Israel,Chile,0,0,0
Chile,Italy,0,0,0
Italy,Chile,0,0,0
Chile,Japan,0,0,0
Japan,Chile,0,0,0
Chile,Malaysia,0,0,0
Malaysia,Chile,0,0,0
Chile,Mexico,0,0,0
Mexico,Chile,0,0,0
Chile,Mongolia,0,0,0
Mongolia,Chile,0,0,0
Chile,Netherlands,0.5,1,0
Netherlands,Chile,0.022727272727272728,1,1
Chile,Norway,0,0,0
Norway,Chile,0,0,0
Chile,Poland,0.5,1,0
Poland,Chile,0.0043859649122807015,1,1
Chile,Portugal,0,0,0
Portugal,Chile,0,0,0
Chile,Romania,0.5,1,0
Romania,Chile,0.006289308176100629,1,1
Chile,Singapore,0,0,0
Singapore,Chile,0,0,0
Chile,South Korea,0,0,0
South Korea,Chile,0,0,0
Chile,Spain,0.5,1,0
Spain,Chile,0.014705882352941176,1,1
Chile,Sweden,0,0,0
Sweden,Chile,0,0,0
Chile,Switzerland,0,0,0
Switzerland,Chile,0,0,0
Chile,Turkey,0,0,0
Turkey,Chile,0,0,0
Chile,UK,0,0,0
UK,Chile,0,0,0
Chile,USA,0,0,0
USA,Chile,0,0,0
Chile,USSR-altaji,0,0,0
USSR-altaji,Chile,0,0,0
Chile,USSR-azerbajdzsán,0,0,0
USSR-azerbajdzsán,Chile,0,0,0
Chile,USSR-csuvas,0,0,0
USSR-csuvas,Chile,0,0,0
Chile,USSR-fehérorosz,0,0,0
USSR-fehérorosz,Chile,0,0,0
Chile,USSR-finn,0,0,0
USSR-finn,Chile,0,0,0
Chile,USSR-grúz,0,0,0
USSR-grúz,Chile,0,0,0
Chile,USSR-kazah,0,0,0
USSR-kazah,Chile,0,0,0
Chile,USSR-kirgiz,0,0,0
USSR-kirgiz,Chile,0,0,0
Chile,USSR-lett,0,0,0
USSR-lett,Chile,0,0,0
Chile,USSR-litván,0,0,0
USSR-litván,Chile,0,0,0
Chile,USSR-moldva,0,0,0
USSR-moldva,Chile,0,0,0
Chile,USSR-orosz,0,0,0
USSR-orosz,Chile,0,0,0
Chile,USSR-tadzsik,0,0,0
USSR-tadzsik,Chile,0,0,0
Chile,USSR-türkmén,0,0,0
USSR-türkmén,Chile,0,0,0
Chile,USSR-udmurt,0,0,0
USSR-udmurt,Chile,0,0,0
Chile,USSR-ukrán,0,0,0
USSR-ukrán,Chile,0,0,0
Chile,USSR-észt,0,0,0
USSR-észt,Chile,0,0,0
Chile,USSR-örmény,0,0,0
USSR-örmény,Chile,0,0,0
Chile,USSR-üzbég,0,0,0
USSR-üzbég,Chile,0,0,0
Chile,Venezuela,0,0,0
Venezuela,Chile,0,0,0
Chile,Vietnam,0,0,0
Vietnam,Chile,0,0,0
Chile,Yugoslavia,0.5,1,0
Yugoslavia,Chile,0.0078125,1,1
China,China,NA,NA,NA
China,Colombia,0,0,0
Colombia,China,0,0,0
China,Cuba,0,0,0
Cuba,China,0,0,0
China,Czechoslovakia-cseh,0.5,14,7
Czechoslovakia-cseh,China,0.058823529411764705,14,7
China,Czechoslovakia-szlovák,0.42857142857142855,12,3.5
Czechoslovakia-szlovák,China,0.041811846689895474,12,8.5
China,Denmark,0,0,0
Denmark,China,0,0,0
China,Egypt,0.03571428571428571,1,0
Egypt,China,0.25,1,1
China,Federal Republic of Germany,0,0,0
Federal Republic of Germany,China,0,0,0
China,Finland,0.03571428571428571,1,0
Finland,China,0.022727272727272728,1,1
China,France,0.10714285714285714,3,2
France,China,0.03225806451612903,3,1
China,GDR,0.39285714285714285,11,3.5
GDR,China,0.043824701195219126,11,7.5
China,Greece,0,0,0
Greece,China,0,0,0
China,Hungary,0.14285714285714285,4,2
Hungary,China,0.027586206896551724,4,2
China,India,0,0,0
India,China,0,0,0
China,Iran,0.03571428571428571,1,0
Iran,China,0.3333333333333333,1,1
China,Israel,0.07142857142857142,2,1
Israel,China,0.07142857142857142,2,1
China,Italy,0.17857142857142858,5,1
Italy,China,0.08333333333333333,5,4
China,Japan,0,0,0
Japan,China,0,0,0
China,Malaysia,0,0,0
Malaysia,China,0,0,0
China,Mexico,0.03571428571428571,1,1
Mexico,China,0.5,1,0
China,Mongolia,0.03571428571428571,1,0
Mongolia,China,0.3333333333333333,1,1
China,Netherlands,0.07142857142857142,2,2
Netherlands,China,0.045454545454545456,2,0
China,Norway,0,0,0
Norway,China,0,0,0
China,Poland,0.21428571428571427,6,3
Poland,China,0.02631578947368421,6,3
China,Portugal,0,0,0
Portugal,China,0,0,0
China,Romania,0.35714285714285715,10,7
Romania,China,0.06289308176100629,10,3
China,Singapore,0,0,0
Singapore,China,0,0,0
China,South Korea,0,0,0
South Korea,China,0,0,0
China,Spain,0.03571428571428571,1,0.5
Spain,China,0.014705882352941176,1,0.5
China,Sweden,0,0,0
Sweden,China,0,0,0
China,Switzerland,0.07142857142857142,2,1
Switzerland,China,0.08695652173913043,2,1
China,Turkey,0,0,0
Turkey,China,0,0,0
China,UK,0.03571428571428571,1,1
UK,China,0.03125,1,0
China,USA,0,0,0
USA,China,0,0,0
China,USSR-altaji,0.03571428571428571,1,1
USSR-altaji,China,1,1,0
China,USSR-azerbajdzsán,0.07142857142857142,2,1.5
USSR-azerbajdzsán,China,0.2857142857142857,2,0.5
China,USSR-csuvas,0.03571428571428571,1,0.5
USSR-csuvas,China,1,1,0.5
China,USSR-fehérorosz,0.03571428571428571,1,1
USSR-fehérorosz,China,0.16666666666666666,1,0
China,USSR-finn,0.03571428571428571,1,1
USSR-finn,China,1,1,0
China,USSR-grúz,0.10714285714285714,3,2
USSR-grúz,China,0.11538461538461539,3,1
China,USSR-kazah,0.10714285714285714,3,2
USSR-kazah,China,0.375,3,1
China,USSR-kirgiz,0,0,0
USSR-kirgiz,China,0,0,0
China,USSR-lett,0.07142857142857142,2,2
USSR-lett,China,0.07407407407407407,2,0
China,USSR-litván,0.10714285714285714,3,2.5
USSR-litván,China,0.08333333333333333,3,0.5
China,USSR-moldva,0.03571428571428571,1,0.5
USSR-moldva,China,0.125,1,0.5
China,USSR-orosz,0.5,14,5
USSR-orosz,China,0.06763285024154589,14,9
China,USSR-tadzsik,0.03571428571428571,1,1
USSR-tadzsik,China,0.2,1,0
China,USSR-türkmén,0.03571428571428571,1,0
USSR-türkmén,China,0.25,1,1
China,USSR-udmurt,0.03571428571428571,1,1
USSR-udmurt,China,1,1,0
China,USSR-ukrán,0.21428571428571427,6,4
USSR-ukrán,China,0.10714285714285714,6,2
China,USSR-észt,0.03571428571428571,1,1
USSR-észt,China,0.03333333333333333,1,0
China,USSR-örmény,0,0,0
USSR-örmény,China,0,0,0
China,USSR-üzbég,0.07142857142857142,2,2
USSR-üzbég,China,0.25,2,0
China,Venezuela,0,0,0
Venezuela,China,0,0,0
China,Vietnam,0,0,0
Vietnam,China,0,0,0
China,Yugoslavia,0.10714285714285714,3,2.5
Yugoslavia,China,0.0234375,3,0.5
Colombia,Colombia,NA,NA,NA
Colombia,Cuba,0,0,0
Cuba,Colombia,0,0,0
Colombia,Czechoslovakia-cseh,1,1,0
Czechoslovakia-cseh,Colombia,0.004201680672268907,1,1
Colombia,Czechoslovakia-szlovák,1,1,0
Czechoslovakia-szlovák,Colombia,0.003484320557491289,1,1
Colombia,Denmark,0,0,0
Denmark,Colombia,0,0,0
Colombia,Egypt,0,0,0
Egypt,Colombia,0,0,0
Colombia,Federal Republic of Germany,1,1,0
Federal Republic of Germany,Colombia,0.006097560975609756,1,1
Colombia,Finland,1,1,0
Finland,Colombia,0.022727272727272728,1,1
Colombia,France,1,1,0
France,Colombia,0.010752688172043012,1,1
Colombia,GDR,0,0,0
GDR,Colombia,0,0,0
Colombia,Greece,0,0,0
Greece,Colombia,0,0,0
Colombia,Hungary,1,1,1
Hungary,Colombia,0.006896551724137931,1,0
Colombia,India,0,0,0
India,Colombia,0,0,0
Colombia,Iran,0,0,0
Iran,Colombia,0,0,0
Colombia,Israel,1,1,0
Israel,Colombia,0.03571428571428571,1,1
Colombia,Italy,1,1,0
Italy,Colombia,0.016666666666666666,1,1
Colombia,Japan,0,0,0
Japan,Colombia,0,0,0
Colombia,Malaysia,0,0,0
Malaysia,Colombia,0,0,0
Colombia,Mexico,0,0,0
Mexico,Colombia,0,0,0
Colombia,Mongolia,0,0,0
Mongolia,Colombia,0,0,0
Colombia,Netherlands,0,0,0
Netherlands,Colombia,0,0,0
Colombia,Norway,0,0,0
Norway,Colombia,0,0,0
Colombia,Poland,1,1,0
Poland,Colombia,0.0043859649122807015,1,1
Colombia,Portugal,0,0,0
Portugal,Colombia,0,0,0
Colombia,Romania,1,1,0
Romania,Colombia,0.006289308176100629,1,1
Colombia,Singapore,0,0,0
Singapore,Colombia,0,0,0
Colombia,South Korea,0,0,0
South Korea,Colombia,0,0,0
Colombia,Spain,1,1,0
Spain,Colombia,0.014705882352941176,1,1
Colombia,Sweden,1,1,0
Sweden,Colombia,0.022727272727272728,1,1
Colombia,Switzerland,0,0,0
Switzerland,Colombia,0,0,0
Colombia,Turkey,1,1,1
Turkey,Colombia,0.03225806451612903,1,0
Colombia,UK,0,0,0
UK,Colombia,0,0,0
Colombia,USA,0,0,0
USA,Colombia,0,0,0
Colombia,USSR-altaji,0,0,0
USSR-altaji,Colombia,0,0,0
Colombia,USSR-azerbajdzsán,0,0,0
USSR-azerbajdzsán,Colombia,0,0,0
Colombia,USSR-csuvas,0,0,0
USSR-csuvas,Colombia,0,0,0
Colombia,USSR-fehérorosz,0,0,0
USSR-fehérorosz,Colombia,0,0,0
Colombia,USSR-finn,0,0,0
USSR-finn,Colombia,0,0,0
Colombia,USSR-grúz,1,1,1
USSR-grúz,Colombia,0.038461538461538464,1,0
Colombia,USSR-kazah,0,0,0
USSR-kazah,Colombia,0,0,0
Colombia,USSR-kirgiz,0,0,0
USSR-kirgiz,Colombia,0,0,0
Colombia,USSR-lett,0,0,0
USSR-lett,Colombia,0,0,0
Colombia,USSR-litván,1,1,0
USSR-litván,Colombia,0.027777777777777776,1,1
Colombia,USSR-moldva,1,1,0
USSR-moldva,Colombia,0.125,1,1
Colombia,USSR-orosz,1,1,0
USSR-orosz,Colombia,0.004830917874396135,1,1
Colombia,USSR-tadzsik,0,0,0
USSR-tadzsik,Colombia,0,0,0
Colombia,USSR-türkmén,0,0,0
USSR-türkmén,Colombia,0,0,0
Colombia,USSR-udmurt,0,0,0
USSR-udmurt,Colombia,0,0,0
Colombia,USSR-ukrán,1,1,0
USSR-ukrán,Colombia,0.017857142857142856,1,1
Colombia,USSR-észt,1,1,0
USSR-észt,Colombia,0.03333333333333333,1,1
Colombia,USSR-örmény,1,1,0
USSR-örmény,Colombia,0.0625,1,1
Colombia,USSR-üzbég,0,0,0
USSR-üzbég,Colombia,0,0,0
Colombia,Venezuela,0,0,0
Venezuela,Colombia,0,0,0
Colombia,Vietnam,0,0,0
Vietnam,Colombia,0,0,0
Colombia,Yugoslavia,1,1,0
Yugoslavia,Colombia,0.0078125,1,1
Cuba,Cuba,NA,NA,NA
Cuba,Czechoslovakia-cseh,1,5,1.5
Czechoslovakia-cseh,Cuba,0.02100840336134454,5,3.5
Cuba,Czechoslovakia-szlovák,0.4,2,1
Czechoslovakia-szlovák,Cuba,0.006968641114982578,2,1
Cuba,Denmark,0,0,0
Denmark,Cuba,0,0,0
Cuba,Egypt,0,0,0
Egypt,Cuba,0,0,0
Cuba,Federal Republic of Germany,0.4,2,1
Federal Republic of Germany,Cuba,0.012195121951219513,2,1
Cuba,Finland,0.4,2,1
Finland,Cuba,0.045454545454545456,2,1
Cuba,France,0.2,1,0
France,Cuba,0.010752688172043012,1,1
Cuba,GDR,0.8,4,1
GDR,Cuba,0.01593625498007968,4,3
Cuba,Greece,0,0,0
Greece,Cuba,0,0,0
Cuba,Hungary,0.6,3,0
Hungary,Cuba,0.020689655172413793,3,3
Cuba,India,0,0,0
India,Cuba,0,0,0
Cuba,Iran,0,0,0
Iran,Cuba,0,0,0
Cuba,Israel,0.2,1,1
Israel,Cuba,0.03571428571428571,1,0
Cuba,Italy,0.2,1,0
Italy,Cuba,0.016666666666666666,1,1
Cuba,Japan,0.4,2,1
Japan,Cuba,0.11764705882352941,2,1
Cuba,Malaysia,0,0,0
Malaysia,Cuba,0,0,0
Cuba,Mexico,0,0,0
Mexico,Cuba,0,0,0
Cuba,Mongolia,0.2,1,1
Mongolia,Cuba,0.3333333333333333,1,0
Cuba,Netherlands,0.2,1,0
Netherlands,Cuba,0.022727272727272728,1,1
Cuba,Norway,0.4,2,1
Norway,Cuba,0.1,2,1
Cuba,Poland,1,5,2
Poland,Cuba,0.021929824561403508,5,3
Cuba,Portugal,0.2,1,1
Portugal,Cuba,0.25,1,0
Cuba,Romania,0.2,1,0
Romania,Cuba,0.006289308176100629,1,1
Cuba,Singapore,0,0,0
Singapore,Cuba,0,0,0
Cuba,South Korea,0,0,0
South Korea,Cuba,0,0,0
Cuba,Spain,0.2,1,0
Spain,Cuba,0.014705882352941176,1,1
Cuba,Sweden,0.4,2,0
Sweden,Cuba,0.045454545454545456,2,2
Cuba,Switzerland,0,0,0
Switzerland,Cuba,0,0,0
Cuba,Turkey,0.4,2,2
Turkey,Cuba,0.06451612903225806,2,0
Cuba,UK,0.6,3,1
UK,Cuba,0.09375,3,2
Cuba,USA,0.2,1,0
USA,Cuba,0.02631578947368421,1,1
Cuba,USSR-altaji,0,0,0
USSR-altaji,Cuba,0,0,0
Cuba,USSR-azerbajdzsán,0,0,0
USSR-azerbajdzsán,Cuba,0,0,0
Cuba,USSR-csuvas,0,0,0
USSR-csuvas,Cuba,0,0,0
Cuba,USSR-fehérorosz,0,0,0
USSR-fehérorosz,Cuba,0,0,0
Cuba,USSR-finn,0,0,0
USSR-finn,Cuba,0,0,0
Cuba,USSR-grúz,0,0,0
USSR-grúz,Cuba,0,0,0
Cuba,USSR-kazah,0,0,0
USSR-kazah,Cuba,0,0,0
Cuba,USSR-kirgiz,0,0,0
USSR-kirgiz,Cuba,0,0,0
Cuba,USSR-lett,0,0,0
USSR-lett,Cuba,0,0,0
Cuba,USSR-litván,0,0,0
USSR-litván,Cuba,0,0,0
Cuba,USSR-moldva,0,0,0
USSR-moldva,Cuba,0,0,0
Cuba,USSR-orosz,0,0,0
USSR-orosz,Cuba,0,0,0
Cuba,USSR-tadzsik,0,0,0
USSR-tadzsik,Cuba,0,0,0
Cuba,USSR-türkmén,0.2,1,1
USSR-türkmén,Cuba,0.25,1,0
Cuba,USSR-udmurt,0,0,0
USSR-udmurt,Cuba,0,0,0
Cuba,USSR-ukrán,0.2,1,1
USSR-ukrán,Cuba,0.017857142857142856,1,0
Cuba,USSR-észt,0.4,2,1
USSR-észt,Cuba,0.06666666666666667,2,1
Cuba,USSR-örmény,0,0,0
USSR-örmény,Cuba,0,0,0
Cuba,USSR-üzbég,0,0,0
USSR-üzbég,Cuba,0,0,0
Cuba,Venezuela,0,0,0
Venezuela,Cuba,0,0,0
Cuba,Vietnam,0,0,0
Vietnam,Cuba,0,0,0
Cuba,Yugoslavia,0.8,4,2
Yugoslavia,Cuba,0.03125,4,2
Czechoslovakia-cseh,Czechoslovakia-cseh,NA,NA,NA
Czechoslovakia-cseh,Czechoslovakia-szlovák,0.3319327731092437,79,38.5
Czechoslovakia-szlovák,Czechoslovakia-cseh,0.27526132404181186,79,40.5
Czechoslovakia-cseh,Denmark,0.01680672268907563,4,0
Denmark,Czechoslovakia-cseh,0.25,4,4
Czechoslovakia-cseh,Egypt,0.004201680672268907,1,1
Egypt,Czechoslovakia-cseh,0.25,1,0
Czechoslovakia-cseh,Federal Republic of Germany,0.09663865546218488,23,7
Federal Republic of Germany,Czechoslovakia-cseh,0.1402439024390244,23,16
