id,author,translator,target_title,target_lang,country,year,place,publisher,pagination,orig_lang,editionstat,orig_title,interm_title,isbn,interm_lang,auth_quality,transl_quality
7791,"Lengyel János",,"Budapest, Kaffeehaus Pilvax",German,Hungary,1995,Budapest,"TKM Egyes.","16 p. ill.",Hungarian,,"Budapest, Pilvax Kávéház",,,,,
7792,"Rózsa György","Jakabfi László; Stewart James; Szőke Helga","Towns, castles, mansions: old Hungarian views; Städte, Burgen, Schlösser: alte ungarische Veduten","English; German",Hungary,1995,Budapest,HG,"173 p. ill.",Hungarian,"Trilingual ed.","Városok, várak, kastélyok: régi magyarországi látképek",,,,,
7793,"Salamon Ágnes; Sós Ágnes","Bökönyi Sándor; Sós Ágnes; Szendrei Tibor","Cemeteries of the early Middle Ages (6th - 9th centuries A. D.) at Pókaszepetk",English,Hungary,1995,Budapest,"Akadémiai Kiadó","246, CLXVI, 8 p.ill.",Hungarian,,,,,,,
7794,"Szirmay-Kalos László",,"Theory of three-dimensional computer graphics",English,Hungary,1995,Budapest,"Akadémiai Kiadó","XIII, 421 p. ill.",Hungarian,,,,,,,
7795,,,Budapešt,Russian,Hungary,1995,Budapest,"Merhavia; Hung. Pictures","88 p. ill.",Hungarian,,Budapest,,,,,
7796,"Molnár László; Skultéty László; Tóth Bertalan",,"Consumer confidence in Hungary, 1993-1995",English,Hungary,1995,Budapest,"GKI Gazdkut. Rt.","88 p. ill.",Hungarian,,,,,,,
7797,"Fábián János",,"Matthias Church, Budapest",English,Hungary,1995,Budapest,"Simon & Kun","24 p. ill.",Hungarian,,"Mátyás-templom, Budapest",,,,,
7798,"Fábián János",,"Église Mathias, Budapest",French,Hungary,1995,Budapest,"Simon & Kun","24 p. ill.",Hungarian,,Mátyás-templom,,,,,
7799,"Fábián János",,"Machasho kyokai, Budapesuto",Japanese,Hungary,1995,Budapest,"Shimon & Kun Ltd.","24 p. ill.",Hungarian,,"Mátyás-templom, Budapest",,,,,
7800,"Fábián János",,"Matthiaskirche, Budapest",German,Hungary,1995,Budapest,"Simon und Kun","24 p. ill.",Hungarian,,"Mátyás-templom, Budapest",,,,,
7801,"Fábián János",,"La Chiesa di Mattia, Budapest",Italian,Hungary,1995,Budapest,"Simon & Kun","24 p. ill.",Hungarian,,"Mátyás-templom, Budapest",,,,,
7802,"Fábián János",,"Iglesia de Matías, Budapest",Spanish,Hungary,1995,Budapest,"Simon & Kun","24 p. ill.",Hungarian,,"Mátyás-templom, Budapest",,,,,
7803,"Klaudy Kinga","Sullivan Chris","Hungary: a country set in time",English,Hungary,1995,Budapest,Corvina,"32 p. ill.",Hungarian,,,,,,,
7804,"Klaudy Kinga","Schmör-Weichenhain Hannelore","Ungarn: das Land im Spiegel der Zeit",German,Hungary,1995,Budapest,Corvina,"32 p. ill.",Hungarian,,,,,,,
7805,"Kovács Antal Kalliszt",,"Geschichte und Beschreibung der Franziskaner-Gnadenkirche zu Sümeg",German,Hungary,1995,Sümeg,"Franziskanerkloster zu Sümeg","25, 8 p. ill.",Hungarian,,"A sümegi ferences kegytemplom és kolostor története és leírása",,,,,
7806,"Árva László",,"Direct foreign investment: some theoretical and practical issues",English,Hungary,1994,Budapest,"Inform. Dept. of the NBH","74 p. ill.",Hungarian,,,,,,,
7807,"Majzik István",,"SEIS: a program control flow graph encoding algorithm for control flow checking",English,Hungary,1994,Budapest,"Technical Univ. of Budapest","66 p. ill.",Hungarian,,,,,,,
7808,"Takács Ferenc","Nemerkényi Krisztina","The 100 year history of olympism in the mirror of sciences : conference and exhibition: Budapest, June 6-8, 1994",English,Hungary,1994,Budapest,"Hung. Olympic Acad.","186 p. ill.",Hungarian,,,,,,,
7809,"Hunyady Sándor","Moreau Jean-Luc","La maison à la lanterne rouge: nouvelles",French,Hungary,1994,Budapest,Corvina,"187 p.",Hungarian,,"A vöröslámpás ház",,,,,
7810,"Kornai János",,"Lasting growth as the top priority: macroeconomic tension and government economic policy in Hungary",English,Hungary,1994,Budapest,"Collegium Budapest Inst. for Advanced Study","54 p. ill.",Hungarian,,"A legfontosabb: a tartós növekedés a makrogazdasági feszültségekről és a kormány gazdaságpolitikájáról",,,,,
7811,"Bakay Kornél",,"Sacra Corona Hungariae","English; German",Hungary,1994,Kőszeg,"Városi Múzeum","472 p. ill.",Hungarian,,,,,,,
7812,"Csányi Yvonne",,"Słuchowo-werbalne wychowanie dzieci z uszkodzonym narządem słuchu: model węgierski",Polish,Poland,1994,Warszawa,"Wydawnictwa Szkolne i Pedagogiczne","210, 1 p.",Hungarian,,"Hallás - beszéd nevelés","Hör - Sprach - Erziehung für hörgeschädigte Kinder",,German,,
7813,"Jókai Mór","Mondral Camilla","Węgierski magnat",Polish,Poland,1995,Katowice,Edytor,"415, (1) p.",Hungarian,"Wyd. 2","Egy magyar nábob",,,,,
7814,"Balassi Bálint","Dąbrowski Witold",Poezje,Polish,Poland,1994,Warszawa,"Burchard Edition","135, (9) p.",Hungarian,,,,,,,
7815,"Goetschel Roland","Gromacka Regina",Kabała,Polish,Poland,1994,Warszawa,Agade,"118, (2) p.",Hungarian,,Kabbale,"La Kabbale",,French,,
7816,"Konrád György","Góralczyk Bogdan; Góralczyk Krystyna","Wielkie wyzwanie : Europa Środkowo-Wschodnia po komunizmie",Polish,Poland,1994,Warszawa,"Niezależna Oficyna Wydawnicza","146, (1) p.",Hungarian,,"Az újjaszületés melankoliája (extr.)",,,,,
7817,"Rath-Végh István","Snopek Jerzy","Komedia książki",Polish,Poland,1994,Wrocław,"Zakład Narodowy im. Ossolińskich","267, 1 p.",Hungarian,,"A könyv komédiája",,,,,
7818,"Molnár Ferenc","Olszański Tadeusz","Chłopcy z Placu Broni",Polish,Poland,1995,Warszawa,"Nasza Księgarnia","164, (4) p.  ill.",Hungarian,,"A Pál utcai fiúk",,,,,
7819,"International Lithosphere Program",,"Final report",English,Hungary,1990,Budapest,"Akadémiai Kiadó","247 p. ill.",Hungarian,,,,,,"Hungarian National Committee",
7820,,"Bassa László; et al.","Geomorphological and geoecological essays",English,Hungary,1989,Budapest,"Akadémiai Kiadó","155 p. ill.",Hungarian,,,,,,,
7821,,"Kelle Peter; et al.","Inventory models",English,Hungary,1990,Budapest,"Akadémiai Kiadó","xi, 418 p.",Hungarian,,"Készletezési modellek",,,,,
7822,"Máté László",,"Hilbert space methods in science and engineering",English,Hungary,1989,Budapest,"Akadémiai Kiadó","viii, 272 p. ill.",Hungarian,,,,,,,
7823,,,"Mössbauer spectroscopy of frozen solutions",English,Hungary,1990,Budapest,"Akadémiai Kiadó","302 p. ill.",Hungarian,,,,,,,
7824,"Konrád György","Eszterhás Peter","Melinda og Dragoman : roman",Danish,Denmark,1995,Kbh.,Samleren,"268 p.",Hungarian,,"Kerti mulatság",,,,,
7825,"Rózsa Sándor","Kabai Sándor; Paál Zoltán","Nuclear measurements in industry",English,Hungary,1989,Budapest,"Akadémiai Kiadó","xiii, 310 p. ill.",Hungarian,,"Nukleáris mérések az iparban",,,,,
7826,"Hamvas Béla","Babić Sava","Magia sutra",Serbian,"Yugoslavia (to 2002)",1995,Zrenjanin,Beograd,"110 str.",Hungarian,,"Magia szutra",,,,,
7827,"Konrád György","Vicko Arpad","Na pupku Evrope",Serbian,"Yugoslavia (to 2002)",1995,Beograd,"Vreme knjige","271 str., slika autora",Hungarian,,"Europa koldoken",,,,,
7828,"Steinmann Henrik",,"World catalogue of Dermaptera",English,Hungary,1989,Budapest,"Akadémiai Kiadó","933 p.",Hungarian,,,,,,,
7829,"Turán Pál",,"Collected papers of Paul Turán",English,Hungary,1990,Budapest,"Akadémiai Kiadó","3 v.",Hungarian,,,,,,,
7830,"Simonyi Károly","Christoph Klara","Kulturgeschichte der Physik",German,Hungary,1990,Budapest,"Akadémiai Kiadó","575, xxxii p. ill.",Hungarian,,"A fizika kultúrtörténete",,,,,
7831,"Regős János","Aleksa Maja","Zelenyj ad-isčezajuščij raj: reprtaž iz tropičeskogo doždevogo lesa",Russian,Hungary,1989,Budapest,"Akadémiai Kiadó","106, 64 p. ill.",Hungarian,,,,,,,
7832,"Hungarian Roland Eötvös Geophysical Institute",,"Annual report","English; Russian",Hungary,1989,Budapest,"Műszaki Kiadó","300, 25 p.",Hungarian,"Trilingual ed.","A Magyar Állami Eötvös Loránd Geofizikai Intézet évi jelentése",,,,Budapest,
7833,"Szabados László",,"Period of changes of bright southern Cepheids",English,Hungary,1989,Budapest,"Konkoly Observatory of the HAS","85 p. ill.",Hungarian,,,,,,,
7834,,,"Papers on mathematical ecology (2)",English,Hungary,1989,Budapest,"Közgazdaságtudományi Egyetem","72 p.",Hungarian,,,,,,,
7835,"Kapitány Ervinné; Maller Aranka",,"Hungarian experiences in use of NWP products from the ECMWF and WMC Washington",English,Hungary,1989,Budapest,"Hungarian Meteorological Service","16 p. ill.",Hungarian,,,,,,,
7836,"Kunfalvi Rezső",,"Collection of competition tasks from the Ist through XVth International Physics Olympiads, 1967-1984",English,Hungary,1990,Budapest,"Eötvös Physical Society","94 p. ill.",Hungarian,,,,,,,
7837,"Korpás László","Kecskés Béla","A bauxite geological model of tropical oceanic island arcs",English,Hungary,1989,Budapest,MÁFI,"21 p. ill.",Hungarian,,,,,,,
7838,"Tuza Zsolt",,"Helly property in finitie set systems",English,Hungary,1990,Budapest,SZTAKI,"20 p.",Hungarian,,,,,,,
7839,"Forgács István",,"Data-separated programming",English,Hungary,1989,Budapest,SZTAKI,"25 p. ill.",Hungarian,,,,,,,
7840,Donaukommission,,"Annuaire hydrologique du Danube, 1988; Gidrologičeskij ežegodnik reki Dunaj, 1988","French; Russian",Hungary,1990,Budapest,Donaukommission,"91 p.",Hungarian,,,,,,Budapest,
7841,"European Micropalaeontological Colloquium","Kiss Árpád; Takács Bíró Katalin",Guide-book,English,Hungary,1989,Budapest,"Hungarian Geological Society","352 p. ill.",Hungarian,,,,,,"21., Budapest, 1989",
7842,"Csörgő Anikó; Füzesi Zsuzsa","Lochovec Jiří","Velká kniha malého školáka",Czech,"Czech Republic",1995,"Ostrava; Praha","Librex; Sfinga","173 p.",Hungarian,,"Csodaország 2",,,,,
7843,"Konrád György","Navrátil Milan","Hon a útěk : výběr esejů z let 1989-1994",Czech,"Czech Republic",1995,Bratislava,Kalligram,"326 p.",Hungarian,,,,,,,
7844,"Mészöly Miklós","Valentová Anna","Samota motýla : výběr esejů z let 1960-1995",Czech,"Czech Republic",1995,Bratislava,Kalligram,"326 p.",Hungarian,,,,,,,
7845,"Fekete István","Podzemskaja Nina","LISËNOK Vuk",Russian,Belarus,1994,Minsk,Universite̊ckae,"95 p. ill.",Hungarian,,,,,,,
7846,"Howard P.","Egorov E.","AVANPOST; Orel ili reška",Russian,Belarus,1994,Minsk,E̊rtrans,"383 p.",Hungarian,,,,,,,
7847,"Korchmaros Pál","Gabor Elena","Karandaš-volšebnik: poleznye uroki risovanija",Russian,Belarus,1994,Minsk,BLP,"112 p. ill.",Hungarian,,,,,,,
7848,"Kosztolányi Dezső","Podzemskaja Nina Markovna; et al.","NERON, krovavyj poèt; Novelly; Goroskop; Kain; Kaligula",Russian,Belarus,1994,Minsk,Belarus',"239 p. ill.",Hungarian,,,,,,,
7849,,"Bogsch Ilma","Exotische Tiere",German,Hungary,1990,Budapest,Forma-Art,"48 p. ill.",Hungarian,,"Egzotikus állatok",,,,,
7850,,,"Ežegodnik vengerskoj gidrologičeskoj služby","Multiple languages",Hungary,1989,Budapest,"Országos Vízügyi Hivatal","276 p. ill.",Hungarian,,"Vízrajzi ékönyv (93/b: 1988)",,,,,
7851,"Bibó István; Huszár Tibor; Szücs Jenő","Grlić Eva; Karaman Igor; Vicko Arpad","Regije evropske povijesti",Croatian,Croatia,1995,Zagreb,Naprijed,"228, 24 str. s tablama ilustr.",Hungarian,,"A kelet-európai kisállamok nyomorúsága; Vázlat Európa három történeti régiójáról, etc.",,,,,
7852,"Kelenyi Bela; Renner Zsuzsanna; Muzejsko-galerijski centar Biserka; Rauter-Plančić","Profikon Dinko; Šokčević","Svjetla i boje Indonezije kroz stoljeća: zbirka umjetnina R. M. Soelaemana Pringgodigdoa u povodu 50. obljetnice neovisnosti Republike Indonezije; Muzejsko-galerijski centar, Zagreb, ožujak-travanj 1995.",Croatian,Croatia,1995,Zagreb,"Muzejsko-galerijski centar","67 str. ilustr. (djelomice u bojama)","English; Hungarian",,,,,,Zagreb,
7853,,,"Studia botanica Hungarica (21, 22)",English,Hungary,1990,Budapest,"Természettudományi Múzeum","74, 78, 20 p.",Hungarian,,,,,,,
7854,"Hamvas Béla",,"Scientia sacra",Croatian,Croatia,1995,Zagreb,Ceres,"263 p.",Hungarian,,,,,,,
7855,,,"State of the Hungarian environment",English,Hungary,1990,Budapest,"Stastical Publ.","143 p. ill.",Hungarian,,,,,,,
7856,"Benda Kálmán; Hanák Péter; Makkai László; Nagy Zsuzsa L.; Niederhauser Emil; Spira György; Voros Karoly","Čolić-Peisker Veljka; Roksandić Drago","Povijest Madjarske",Croatian,Croatia,1995,Zagreb,Barbat,"308 str.",Hungarian,,,"The Corvina history of Hungary",,English,,
7857,"Salamon Konrad","Mandić Živko","Povijest: za IV. razred srednje škole",Croatian,Croatia,1995,Budapest,"Nemzeti Tankonyvkiado","302 str. ilustr.",Hungarian,,"Tortenelem a kozepiskolak szamara",,,,,
7858,"Gonczi Ferencz","Antauer Ladislav","Medjimurje: ljudi, vjerovanja, običaji",Croatian,Croatia,1995,Čakovec,Chak,"166 str. ilustr.",Hungarian,,"Murakoz es nepe",,,,,
7859,"Bibó István","Galandová Eva","Útrapy východoeurópskych malých štátov",Slovak,"Slovak Republic",1994,Bratislava,STIMUL,"59 s.",Hungarian,,"Összegyüjtöt munkái 1. Az Európai Protestáns Magyar Szabadegyetem",,,,,
7860,"Buda Béla","Haidová Katarína; Košková Klára; Máthé Robert","Empatia; Psychológia vcítenia a vžitia sa do druhého","Slovak; Slovak","Slovak Republic",1994,"Nové Zámky",PSYCHOPROF,"340 s.",Hungarian,"2. vyd.","Az empátia - a beleélés lélektana",,,,,
7861,"Farsang Istvánné Judit; Páliová","Králová Katarína","Myslenie a matematika; Obrázkové úlohy pre deti predškolského veku a žiakov prvých tried základných škôl","Slovak; Slovak","Slovak Republic",1994,Bratislava,Tigra,"45 s.",Hungarian,,,,,,,
7862,"Gálik Péter","Šabacká Agnes","Murphyho zákony pro školáky",Czech,"Slovak Republic",1994,Bratislava,Junior,"111 s.",Hungarian,,,,,,,
7863,"Ják Edit","Králová Katarína","Svet okolo teba; Obrázkové úlohy pre deti predškolského veku a žiakov prvých tried základných škôl","Slovak; Slovak","Slovak Republic",1994,Bratislava,Tigra,"46 s.",Hungarian,,,,,,,
7864,"Mészöly Miklós","Králová Katarína","Domov a svet; Eseje a štúdie","Slovak; Slovak","Slovak Republic",1995,Bratislava,Kalligram,"301 s.",Hungarian,,,,,,,
7865,"Oláh Andor","Várgölyi Konštantín","Udržanie sviežosti v jeseni života",Slovak,"Slovak Republic",1994,Vrútky,Vega,"108 s.",Hungarian,,"Életed az drvosságod",,,,,
7866,"Vághidi Ferenc","Linová Monika","Nostradamus. Proroctvá na dvadsiate storočie",Slovak,"Slovak Republic",1994,Šamorín,RÉKA,"69 s.",Hungarian,,"Nostradamus élete és jövendölési a 20. századra",,,,,
7867,"Fehér Ferenc; La Trobe University",,"The evergreen Tocqueville : on the occasion of the Hungarian publication of American democracy",English,Australia,1995,"Bundoora, VICa Trobe University",,"16 p.",Hungarian,,,,,,"School of Politics",
7868,"Eősze László","Széll Erika","Wenn Verdi ein Tagebuch geführt hätte ...",German,Hungary,1990,Budapest,Corvina,"251 p.",Hungarian,"3. ed.","Giuseppe Verdi életének krónikája",,,,,
7869,"Gerő András","Roy Edward","Der Heldenplatz, Budapest, als Spiegel ungarischer Geschichte",German,Hungary,1990,Budapest,Corvina,"66 p. ill.",Hungarian,,,,,,,
7870,"Horler Miklós","Marsovszky Magdolna","Die Bakócz-Kapelle im Dom zu Esztergom",German,Hungary,1990,Budapest,"Corvina; Helikon","116 p. ill.",Hungarian,,"A Bakócz-kápolna az esztergomi főszékesegyházban",,,,,
7871,"Tóth László","Bock Maria","Die ungarische Fahrkunst",German,Hungary,1989,Budapest,Corvina,"75 p. ill.",Hungarian,,"A magyar fogathajtás",,,,,
7872,"Török Gyöngyi","Till Johanna","Der Nikolausaltar aus Jánosrét in der Ungarischen Nationalgalerie in Budapest",German,Hungary,1990,Budapest,"Corvina; Helikon","57 p. ill.",Hungarian,,"A jánosréti Szent Miklós-főoltár a Magyar Nemzeti Galériában",,,,,
7873,"Varnusz Egon","Tomor Béla","Lajos Portisch: Portrait eines Schachspielers mit 114 Partien",German,Hungary,1990,Budapest,Corvina,"210 p. ill.",Hungarian,,,,,,,
7874,"Prokopp Mária","Kempe Agnes; Kempe Wolfgang",Giotto,German,Hungary,1989,Budapest,Corvina,"16, 56 p. ill.",Hungarian,,Giotto,,,,,
7875,"Gerő András","Molinari Christina","Heroes' Square, Budapest: Hungary's histiry in stone and bronze",English,Hungary,1990,Budapest,Corvina,"66 p. ill.",Hungarian,,,,,,,
7876,,"Béres Zsuzsa; Doherty Peter","A golden age: art and society in Hungary 1896-1914",English,Hungary,1989,Budapest,Corvina,"197 p. ill.",Hungarian,,,,,,,
7877,"Horler Miklós","Halápy Lili","The Bakócz chapel of Esztergom cathedral",English,Hungary,1990,Budapest,"Corvina; Helikon","115 p. ill.",Hungarian,,"A Bakócs-kápolna az esztergomi főszékesegyházban",,,,,
7878,"Rácz Endre","Rácz Éva",Pannonhalma,English,Hungary,1990,Budapest,Corvina,"93 p. ill.",Hungarian,,Pannonhalma,,,,,
7879,"Székely András","Halápy Lili","Spanish painting",English,Hungary,1989,Budapest,Corvina,"31, 48 p. ill.",Hungarian,"2. ed.","Spanyol festészet",,,,,
7880,"Török Gyöngyi","Halápy Lili","The altarpiece of St. Nicholas from Jánosrét in the Hungarian National Gallery",English,Hungary,1990,Budapest,"Corvina; Helikon","54 p. ill.",Hungarian,,"A jánosréti Szent Miklós-főoltár a Magyar Nemzeti Galériában",,,,,
7881,"Székely András","Vargyas Kató","Peinture espagnole",French,Hungary,1989,Budapest,Corvina,"29, 48, 48 p. ill.",Hungarian,"2. ed.","Spanyol festészet",,,,,
7882,"Prokopp Mária","Engelmann Alfréd",Giotto,Slovak,Hungary,1989,Budapest,Corvina,"15, 57 p. ill.",Hungarian,,Giotto,,,,,
7883,"Gellér Katalin","Kozakiewiczowa Helena","Malarstwo francuskie w XIX wieku",Polish,Hungary,1990,Budapest,Corvina,"41, 48 p. ill.",Hungarian,,"XIX. százdi francia festészet",,,,,
7884,"Prokopp Mária","Kiljańczyk Agnieszka",Giotto,Polish,Hungary,1989,Budapest,Corvina,"16, 56 p. ill.",Hungarian,,Giotto,,,,,
7885,"Gellér Katalin","Zilahi Krisztina","La pintura francesa del siglo XIX",Spanish,Hungary,1990,Budapest,Corvina,"42, 48 p. ill.",Hungarian,,"XIX. százdi francia festészet",,,,,
7886,"Szőke Mátyás","Jákváry Ursula","Die Hochburg",German,Hungary,1990,Budapest,"TKM Egyesület","16 p. ill.",Hungarian,"2. ed.","Visegrád, fellegvár",,,,,
7887,"Szigetvári György",,"Kaposvár, Kunstdenkmäler",German,Hungary,1989,Budapest,"TKM Egyesület","16 p. ill.",Hungarian,,"Kaposvár, műemlékek",,,,,
7888,"Levárdy Ferenc",,"Pécs, innenstäddtische Pfarrkirche",German,Hungary,1990,Budapest,"TKM Egyesület","16 p. ill.",Hungarian,"2. ed.","Pécs, belvárosi plébániatemplom",,,,,
7889,"Levárdy Ferenc",,"Pécs, innenstädtische Pfarrkirche",German,Hungary,1989,Budapest,"TKM Egyesület","16 p. ill.",Hungarian,,"Pécs, belvárosi plébániatemplom",,,,,
7890,"Juhász Antal; Trogmayer Ottó; Zombori István","Lux Kálman","Ópusztaszer: Historischer Nationalgedenpark",German,Hungary,1990,Budapest,"TKM Egyesület","16 p. ill.",Hungarian,,"Ópusztaszer, Nemzeti Emlékpark",,,,,
7891,,,"Contemporary Hungarian composers",English,Hungary,1989,Budapest,EMB,"433 p. ill.",Hungarian,"5. ed.",,,,,,
7892,,"Nádasi Myrtill","The Lord of Dream: the dance theatre of Iván Markó",English,Hungary,1989,Budapest,Múzsák,"111 p. ill.",Hungarian,,,,,,,
7893,"Szilágyi István","Messing Renate","Aris Konstantinidis",German,Hungary,1990,Budapest,"Akadémiai Kiadó","23, 60 p. ill.",Hungarian,,"Arisz Konsztantinidisz",,,,,
7894,"Kovács László","Esterházy Mátyás","Münzen aus der ungarischen Landnahmezeit",German,Hungary,1989,Budapest,"Akadémiai Kiadó","188, xxix p. ill.",Hungarian,,,,,,,
7895,"Feuer Tóth Rózsa","Jakobi Györgyi","Art and humanism in Hungary in the age of Matthias Corvinus",English,Hungary,1990,Budapest,"Akadémiai Kiadó","178 p. ill.",Hungarian,,,,,,,
7896,,"Mészöly Suzanne","Masterpieces of the Museum of Fine Arts",English,Hungary,1990,Budapest,"Fine Arts Publ. House","221 p. ill.",Hungarian,,"Remekművek a Szépművészeti Múzeumból",,,,,
7897,"Rubovszky András","Blaschtik Éva","Hotel Gellért",German,Hungary,1990,Budapest,Széchenyi-Verlag,"61 p. ill.",Hungarian,,"Hotel Gellért",,,,,
7898,,"Borus Rózsa H.","Meisterwerke des Museums der Bildenden Künste",German,Hungary,1990,Budapest,Kunstverlag,"225 p. ill.",Hungarian,,"Remekművek a Szépművészeti Múzeumból",,,,,
7899,"Sikota Győző","Boris János",Zsolnay,English,Hungary,1989,Budapest,"Műszaki Kiadó","182 p. ill.",Hungarian,,Zsolnay,,,,,
7900,"Czagány István; Gink Judit; Gink Károly",,"Die Matthias-Kirche von Budapest",German,Hungary,1990,Budapest,"Mátyás-templom Baráti Köre","74 p. ill.",Hungarian,,"A budavári Mátyás-templom",,,,,
7901,"Czagány István; Gink Judit; Gink Károly",,"The Matthias church of Budapest",English,Hungary,1990,Budapest,"Mátyás-templom Baráti Köre","74 p. ill.",Hungarian,,"A budavári Mátyás-templom",,,,,
7902,,"Jákváry Ursula","Die Fundmünzen der römischen Zeit in Ungarn (1:) Komitat Fejér",German,Hungary,1990,Budapest,Kultura,"448 p. ill.",Hungarian,,,,,,,
7903,"Prohászka László","Stöckigt Veronika","Skulpturenführer duch Burg Buda",German,Hungary,1990,Budapest,"Zrínyi Kiadó","62 p. ill.",Hungarian,,"Budavári szoborkalauz",,,,,
7904,"Prohászka László","Sullivan Christopher","The sculptures in Buda's Castle District",English,Hungary,1990,Budapest,"Zrínyi Kiadó","62 p. ill.",Hungarian,,"Budavári szoborkalauz",,,,,
7905,"Szacsvay Imre","Jäger Mesterfi Valéria","In Transylvania: a living wonderful tradition",English,Hungary,1989,Budapest,"Officina Nova; Püski","3 v. ill.",Hungarian,,"Erdélyi utakon",,,,,
7906,"Benedek Elek","Molinari Christina","Palko the Piper; The cowherd's daughter; Salt","English; English; English",Hungary,1990,Budapest,Corvina,"26 p. ill.","Hungarian; Hungarian; Hungarian",,"A só; Furulyás Palkó; A gulyás leánya",,,,,
7907,"Benedek Elek","Koriath Dorothea","Palkó, der Flötenspieler; Die Tochter des Kuhhirten; Das Salz","German; German; German",Hungary,1990,Budapest,Corvina,"26 p. ill.","Hungarian; Hungarian; Hungarian",,"A só; Furulyás Palkó; A gulyás leánya",,,,,
7908,"Benedek Elek; Illyés Gyula","Bodóczky Caroline; et al.","The tree that reached the sky: Hungarian folktales",English,Hungary,1990,Budapest,Corvina,"64 p. ill.",Hungarian,"2. ed.",,,,,,
7909,,"Fejér Hédi","Selection of Hungarian experimental poetry",English,Hungary,1990,Budapest,Magvető,"276 p. ill.",Hungarian,"Bilingual ed.","Médium-art: válogatás a magyar experimentális költészetből",,,,,
7910,"Füst Milán","Tótfalusi István","25 poems",English,Hungary,1990,Budapest,Maecenas,"111 p.",Hungarian,"Bilingual ed.","25 vers",,,,,
7911,"Vas István","Berlind Bruce; et al.","Through the smoke: selected poems",English,Hungary,1989,Budapest,Corvina,"128 p.",Hungarian,,,,,,,
7912,,"Thies Vera","Ungarische Liebesbriefe aus fünf Jahrhunderten",German,Hungary,1989,Budapest,Corvina,"250 p. ill.",Hungarian,,,,,,,
7913,"Krúdy Gyula","Sebetyén György","Die rote Postkutsche",German,Hungary,1989,Budapest,Corvina,"429 p.",Hungarian,,"A vörös postakocsi",,,,,
7914,"Kosztolányi Dezső",,"Darker muses",English,Hungary,1990,Budapest,Corvina,"243 p.",Hungarian,,"Nero, a véres költő",,,,,
7915,"Keszthelyi Tibor","Tumarkina Elena","Anatomija detektiva",Russian,Hungary,1989,Budapest,Corvina,"260 p.",Hungarian,,"A detektívtörténet anatómiája",,,,,
7916,"Jókai Mór",,"Die beiden Trenck",German,Hungary,1990,Budapest,Corvina,"328, 4 p.",Hungarian,,"A két Trenck",,,,,
7917,,,"Les auteurs dramatiques hongrois du vingtième siècle",French,Hungary,1990,Budapest,"Institut hongrois du théâtre","36 p. ill.",Hungarian,,,,,,,
7918,"Finta Sándor","Daróczy Sándor","Herdboy of Hungary: the true story of Mocskos",English,Hungary,1990,Budapest,R-forma,"111 p. ill.",Hungarian,"Bilingual ed.","A kisbojtár: igaz történet a Mocskosról",,,,,
7919,"Katona Mária","Házi Judit","Gust and Zephyr",English,Hungary,1990,Budapest,Klasszis,"46 p. ill.",Hungarian,"Bilingual ed.","Szell és Szelli",,,,,
7920,,,"Theorien, Epochen, Kontakte: Festschrift zum 60. Geburstag von Professor Dr. Dr. h. c. Antal Mádl",German,Hungary,1989,Budapest,ELTE,"2 v.",Hungarian,,,,,,,
7921,"Vágvölgyi Éva",,"Die goldene Blume: Märchen für Klein und Gross",German,Hungary,1989,Budapest,Ferrocoop,"2, 53 p. ill.",Hungarian,,,,,,,
7922,,,"Weil du mich liebst Auswahl von der ungarischen Liebesdictung von Bálint Balassi bis Miklós Radnóti",German,Hungary,1989,Budapest,Pátria,"126 p. ill.",Hungarian,,,,,,,
7923,"Koch Valéria",,"Sub rosa: gedichte",German,Hungary,1989,Pécs,"Baranya Megyei Tanács","149 p.",Hungarian,,,,,,,
7924,,,"Hungarian studies in English",English,Hungary,1990,Debrecen,KLTE,"102 p.",Hungarian,,"Angol filológiai tanulmányok (21)",,,,,
7925,"Szabóky Zsolt",,"Buda castle",English,Hungary,1990,Budapest,Corvina,"77 p. ill.",Hungarian,,"A budai vár",,,,,
7926,"Szabóky Zsolt","Hünlich Axel; et al.","Die Burg Buda",German,Hungary,1990,Budapest,Corvina,"77 p. ill.",Hungarian,,"A budai vár",,,,,
7927,"Szabóky Zsolt","Tóth Mireille T.","Le château de Buda",French,Hungary,1990,Budapest,Corvina,"77 p. ill.",Hungarian,,"A budai vár",,,,,
7928,,"Töttösy Therese","Budapest mit 315 Farbfotos",German,Hungary,1990,Budapest,Corvina,"130 p. ill.",Hungarian,"4. ed.","Budapest: 315 színes képpel",,,,,
7929,,"Kása Maria Marcos de","Budapest con 315 fotografias en colores",Spanish,Hungary,1990,Budapest,Corvina,"133 p. ill.",Hungarian,"3. ed.","Budapest: 315 színes képpel",,,,,
7930,,"Minuta Gaetano","Budapest con 315 foto a colori",Italian,Hungary,1990,Budapest,Corvina,"133 p. ill.",Hungarian,"3. ed.","Budapest: 315 színes képpel",,,,,
7931,,"Hoch Elisabeth; et al.","Budapest: 315 colour photographs",English,Hungary,1990,Budapest,Corvina,"133 p. ill.",Hungarian,"5. ed.","Budapest: 315 színes képpel",,,,,
7932,,"Rákosi Szilvia",Budapest,Italian,Hungary,1990,Budapest,MTI,"128 p. ill.",Hungarian,"2. ed.",Budapest,,,,,
7933,,"Szendrei Tibor",Budapest,English,Hungary,1990,Budapest,MTI,"128 p. ill.",Hungarian,,Budapest,,,,,
